id,nome,interesse
1,Fernanda Souza,Criptomoedas
2,Daniela Rodrigues,tesouro direto
3,Fernanda Oliveira,Ações
4,Ana Silva,Fundos Imobiliarios
5,Carlos Rodrigues,Criptomoedas
6,Gabriel Silva,Reserva de Emergencia
7,Eduardo Oliveira,Ações
8,Carlos Oliveira,Ações
9,Eduardo Rodrigues,Criptomoedas
10,Gabriel Ferreira,Reserva de Emergencia
11,Daniela Oliveira,Fundos Imobiliarios
12,Ana Silva,Reserva de Emergencia
13,Fernanda Silva,Fundos Imobiliarios
14,Fernanda Silva,Fundos Imobiliarios
15,Eduardo Oliveira,Ações
16,Carlos Silva,Reserva de Emergencia
17,Eduardo Silva,Ações
18,Fernanda Oliveira,Fundos Imobiliarios
19,Gabriel Oliveira,Criptomoedas
20,Carlos Rodrigues,Criptomoedas
21,Ana Oliveira,Fundos Imobiliarios
22,Gabriel Ferreira,Reserva de Emergencia
23,Gabriel Santos,Reserva de Emergencia
24,Gabriel Santos,tesouro direto
25,Eduardo Rodrigues,Fundos Imobiliarios
26,Eduardo Santos,Ações
27,Eduardo Santos,Fundos Imobiliarios
28,Daniela Ferreira,Reserva de Emergencia
29,Ana Ferreira,Criptomoedas
30,Bruno Ferreira,Criptomoedas
31,Fernanda Santos,Criptomoedas
32,Carlos Rodrigues,Ações
33,Gabriel Ferreira,Fundos Imobiliarios
34,Carlos Ferreira,Criptomoedas
35,Ana Ferreira,Reserva de Emergencia
36,Gabriel Oliveira,Reserva de Emergencia
37,Daniela Ferreira,tesouro direto
38,Gabriel Oliveira,tesouro direto
39,Daniela Silva,tesouro direto
40,Bruno Santos,Fundos Imobiliarios
41,Bruno Santos,Criptomoedas
42,Carlos Oliveira,Ações
43,Carlos Souza,Criptomoedas
44,Carlos Santos,Fundos Imobiliarios
45,Eduardo Silva,Criptomoedas
46,Gabriel Ferreira,Reserva de Emergencia
47,Ana Oliveira,Reserva de Emergencia
48,Gabriel Rodrigues,Fundos Imobiliarios
49,Gabriel Ferreira,tesouro direto
