id,nome,interesse,marketing_ia
1,Vitor Ferreira,Seguro de Vida,Erro na geração
2,Samuel Araujo,Tesouro Direto,Erro na geração
3,Olivia Barbosa,Criptomoedas,Erro na geração
4,Julia Ferreira,Criptomoedas,Erro na geração
5,Rafaela Martins,Fundos Imobiliários (FIIs),Erro na geração
6,Samuel Costa,Fundos Imobiliários (FIIs),Erro na geração
7,Yasmin Oliveira,Day Trade,Erro na geração
8,Pedro Martins,Reserva de Emergência,Erro na geração
9,Lucas Gomes,Financiamento de Imóveis,Erro na geração
10,Igor Santos,Seguro de Vida,Erro na geração
11,Carlos Ribeiro,Tesouro Direto,Erro na geração
12,Carlos Santos,Day Trade,Erro na geração
13,Pedro Santos,Ações e Bolsa de Valores,Erro na geração
14,Lucas Lima,Ações e Bolsa de Valores,Erro na geração
15,Bruno Rodrigues,Fundos Imobiliários (FIIs),Erro na geração
16,Igor Costa,Day Trade,Erro na geração
17,Mariana Barbosa,Financiamento de Imóveis,Erro na geração
18,Gabriel Pereira,Previdência Privada,Erro na geração
19,Tatiana Souza,Cartão de Crédito Black,Erro na geração
20,Bruno Araujo,Financiamento de Imóveis,Erro na geração
21,Vitor Pereira,Previdência Privada,Erro na geração
22,Igor Souza,Cartão de Crédito Black,Erro na geração
23,Rafaela Silva,Seguro de Vida,Erro na geração
24,Pedro Silva,Cartão de Crédito Black,Erro na geração
25,Carlos Ribeiro,Day Trade,Erro na geração
26,Ana Oliveira,Reserva de Emergência,Erro na geração
27,Lucas Silva,Fundos Imobiliários (FIIs),Erro na geração
28,Carlos Araujo,Reserva de Emergência,Erro na geração
29,Mariana Barbosa,Previdência Privada,Erro na geração
30,Tatiana Rodrigues,Criptomoedas,Erro na geração
31,Mariana Costa,Cartão de Crédito Black,Erro na geração
32,Rafaela Souza,Criptomoedas,Erro na geração
33,Mariana Almeida,Reserva de Emergência,Erro na geração
34,Pedro Ribeiro,Criptomoedas,Erro na geração
35,Igor Almeida,Financiamento de Imóveis,Erro na geração
36,Olivia Araujo,Cartão de Crédito Black,Erro na geração
37,Samuel Ferreira,Criptomoedas,Erro na geração
38,Olivia Araujo,Reserva de Emergência,Erro na geração
39,Pedro Barbosa,Financiamento de Imóveis,Erro na geração
40,Mariana Barbosa,Seguro de Vida,Erro na geração
41,Carlos Almeida,Ações e Bolsa de Valores,Erro na geração
42,Olivia Rodrigues,Financiamento de Imóveis,Erro na geração
43,Igor Pereira,Criptomoedas,Erro na geração
44,Bruno Martins,Ações e Bolsa de Valores,Erro na geração
45,Julia Silva,Reserva de Emergência,Erro na geração
46,Carlos Silva,Previdência Privada,Erro na geração
47,Gabriel Almeida,Criptomoedas,Erro na geração
48,Julia Costa,Criptomoedas,Erro na geração
49,Lucas Ribeiro,Seguro de Vida,Erro na geração
50,Olivia Ferreira,Previdência Privada,Erro na geração
51,Daniela Santos,Criptomoedas,Erro na geração
52,Fernanda Lima,Tesouro Direto,Erro na geração
53,Bruno Lima,Ações e Bolsa de Valores,Erro na geração
54,Carlos Oliveira,Day Trade,Erro na geração
55,Mariana Pereira,Day Trade,Erro na geração
56,Eduardo Ferreira,Cartão de Crédito Black,Erro na geração
57,Vitor Souza,Cartão de Crédito Black,Erro na geração
58,Olivia Costa,Cartão de Crédito Black,Erro na geração
59,Vitor Almeida,Cartão de Crédito Black,Erro na geração
60,Lucas Gomes,Tesouro Direto,Erro na geração
61,Mariana Almeida,Cartão de Crédito Black,Erro na geração
62,Gabriel Santos,Fundos Imobiliários (FIIs),Erro na geração
63,Pedro Rodrigues,Seguro de Vida,Erro na geração
64,Samuel Ferreira,Financiamento de Imóveis,Erro na geração
65,Yasmin Almeida,Ações e Bolsa de Valores,Erro na geração
66,Gabriel Martins,Seguro de Vida,Erro na geração
67,Mariana Ribeiro,Day Trade,Erro na geração
68,Vitor Silva,Cartão de Crédito Black,Erro na geração
69,Julia Ribeiro,Reserva de Emergência,Erro na geração
70,Bruno Gomes,Day Trade,Erro na geração
71,Ana Souza,Criptomoedas,Erro na geração
72,Julia Santos,Day Trade,Erro na geração
73,Julia Ferreira,Tesouro Direto,Erro na geração
74,Ana Oliveira,Tesouro Direto,Erro na geração
75,Carlos Ferreira,Previdência Privada,Erro na geração
76,Helena Souza,Ações e Bolsa de Valores,Erro na geração
77,Pedro Martins,Fundos Imobiliários (FIIs),Erro na geração
78,Bruno Costa,Reserva de Emergência,Erro na geração
79,Carlos Ferreira,Fundos Imobiliários (FIIs),Erro na geração
80,Fernanda Lima,Ações e Bolsa de Valores,Erro na geração
81,Pedro Ferreira,Financiamento de Imóveis,Erro na geração
82,Olivia Ribeiro,Ações e Bolsa de Valores,Erro na geração
83,Fernanda Lima,Cartão de Crédito Black,Erro na geração
84,Igor Barbosa,Ações e Bolsa de Valores,Erro na geração
85,Nicolas Oliveira,Financiamento de Imóveis,Erro na geração
86,Bruno Lima,Reserva de Emergência,Erro na geração
87,Vitor Barbosa,Ações e Bolsa de Valores,Erro na geração
88,Julia Pereira,Fundos Imobiliários (FIIs),Erro na geração
89,Daniela Rodrigues,Previdência Privada,Erro na geração
90,Gabriel Lima,Ações e Bolsa de Valores,Erro na geração
91,Nicolas Silva,Cartão de Crédito Black,Erro na geração
92,Eduardo Pereira,Criptomoedas,Erro na geração
93,Eduardo Rodrigues,Fundos Imobiliários (FIIs),Erro na geração
94,Mariana Souza,Financiamento de Imóveis,Erro na geração
95,Carlos Almeida,Ações e Bolsa de Valores,Erro na geração
96,Yasmin Santos,Previdência Privada,Erro na geração
97,Eduardo Almeida,Ações e Bolsa de Valores,Erro na geração
