id,nome,interesse
1,Vitor Ferreira,Seguro de Vida
2,Samuel Araujo,Tesouro Direto
3,Olivia Barbosa,Criptomoedas
4,Julia Ferreira,Criptomoedas
5,Rafaela Martins,Fundos Imobiliários (FIIs)
6,Samuel Costa,Fundos Imobiliários (FIIs)
7,Yasmin Oliveira,Day Trade
8,Pedro Martins,Reserva de Emergência
9,Lucas Gomes,Financiamento de Imóveis
10,Igor Santos,Seguro de Vida
11,Carlos Ribeiro,Tesouro Direto
12,Carlos Santos,Day Trade
13,Pedro Santos,Ações e Bolsa de Valores
14,Lucas Lima,Ações e Bolsa de Valores
15,Bruno Rodrigues,Fundos Imobiliários (FIIs)
16,Igor Costa,Day Trade
17,Mariana Barbosa,Financiamento de Imóveis
18,Gabriel Pereira,Previdência Privada
19,Tatiana Souza,Cartão de Crédito Black
20,Bruno Araujo,Financiamento de Imóveis
21,Vitor Pereira,Previdência Privada
22,Igor Souza,Cartão de Crédito Black
23,Rafaela Silva,Seguro de Vida
24,Pedro Silva,Cartão de Crédito Black
25,Carlos Ribeiro,Day Trade
26,Ana Oliveira,Reserva de Emergência
27,Lucas Silva,Fundos Imobiliários (FIIs)
28,Carlos Araujo,Reserva de Emergência
29,Mariana Barbosa,Previdência Privada
30,Tatiana Rodrigues,Criptomoedas
31,Mariana Costa,Cartão de Crédito Black
32,Rafaela Souza,Criptomoedas
33,Mariana Almeida,Reserva de Emergência
34,Pedro Ribeiro,Criptomoedas
35,Igor Almeida,Financiamento de Imóveis
36,Olivia Araujo,Cartão de Crédito Black
37,Samuel Ferreira,Criptomoedas
38,Olivia Araujo,Reserva de Emergência
39,Pedro Barbosa,Financiamento de Imóveis
40,Mariana Barbosa,Seguro de Vida
41,Carlos Almeida,Ações e Bolsa de Valores
42,Olivia Rodrigues,Financiamento de Imóveis
43,Igor Pereira,Criptomoedas
44,Bruno Martins,Ações e Bolsa de Valores
45,Julia Silva,Reserva de Emergência
46,Carlos Silva,Previdência Privada
47,Gabriel Almeida,Criptomoedas
48,Julia Costa,Criptomoedas
49,Lucas Ribeiro,Seguro de Vida
50,Olivia Ferreira,Previdência Privada
51,Daniela Santos,Criptomoedas
52,Fernanda Lima,Tesouro Direto
53,Bruno Lima,Ações e Bolsa de Valores
54,Carlos Oliveira,Day Trade
55,Mariana Pereira,Day Trade
56,Eduardo Ferreira,Cartão de Crédito Black
57,Vitor Souza,Cartão de Crédito Black
